brand,price,year,mileage,color,vin,lot,state,country,condition
dodge,11000,2013,83976.0,white,2c3cdyag4dh530716,167632924,illinois,usa,2 days left
dodge,21000,2018,12554.0,gray,2c3cdxbg4jh164292,167639649,texas,usa,10 days left
dodge,5500,2015,60707.0,gray,1c3cdfeb8fd116826,167641448,texas,usa,10 days left
dodge,7500,2014,40110.0,red,2c3cdyag0eh274494,167641710,texas,usa,10 days left
dodge,15800,2019,28038.0,silver,2c4rdgcg8kr631438,167749568,michigan,usa,21 hours left
dodge,16900,2019,26643.0,red,3c4pddeg5kt774458,167749576,michigan,usa,21 hours left
dodge,25000,2019,36127.0,white,1c4rdjdgxkc664221,167749579,michigan,usa,21 hours left
dodge,18000,2019,19983.0,black,2c3cdxbg8kh659970,167652916,massachusetts,usa,3 days left
dodge,15600,2019,29926.0,black,2c4rdgcg0kr682478,167749581,michigan,usa,21 hours left
dodge,23800,2019,36750.0,white,1c4rdhdg3kc645177,167801945,north carolina,usa,2 days left
dodge,16800,2019,27312.0,black,3c4pddeg4kt708418,167749586,michigan,usa,21 hours left
dodge,22700,2019,49575.0,white,1c4rdhdg7kc684421,167801946,north carolina,usa,2 days left
dodge,23300,2019,30279.0,red,2c3cdzbt8kh593686,167801947,north carolina,usa,2 days left
dodge,23500,2019,25825.0,white,2c3cdzbt5kh578448,167801949,north carolina,usa,2 days left
dodge,25500,2019,32474.0,silver,1c4rdjdg7kc651586,167801952,north carolina,usa,2 days left
dodge,21800,2019,30585.0,white,2c3cdzbt1kh573652,167801953,north carolina,usa,2 days left
dodge,22800,2019,36203.0,gray,1c4rdhdg2kc645025,167801954,north carolina,usa,2 days left
dodge,18200,2019,29602.0,red,2c4rdgcg1kr565329,167749702,michigan,usa,21 hours left
dodge,23500,2019,28689.0,red,2c3cdzbt7kh606377,167801955,north carolina,usa,2 days left
dodge,25700,2019,31447.0,charcoal,1c4rdjdg1kc691579,167801956,north carolina,usa,2 days left
dodge,15700,2019,39148.0,white,2c4rdgeg3kr529509,167801987,north carolina,usa,2 days left
dodge,17500,2018,33495.0,silver,3c4pddeg6jt463152,167750095,michigan,usa,21 hours left
dodge,15700,2019,35274.0,white,2c4rdgeg6kr618815,167801990,north carolina,usa,2 days left
dodge,16500,2018,48745.0,white,2c4rdgeg8jr219449,167750096,indiana,usa,21 hours left
dodge,16100,2019,31297.0,red,2c4rdgeg0kr529483,167801991,north carolina,usa,2 days left
dodge,15600,2019,38745.0,charcoal,2c4rdgeg3kr578354,167801992,north carolina,usa,2 days left
dodge,15400,2019,37704.0,gray,2c4rdgeg5kr594507,167801993,north carolina,usa,2 days left
dodge,28200,2017,27060.0,white,1c4rdjdg6hc833787,167750272,michigan,usa,21 hours left
dodge,15300,2019,40002.0,no_color,2c4rdgeg3kr529851,167801994,north carolina,usa,2 days left
dodge,15900,2019,34930.0,red,2c4rdgeg0kr578974,167801995,north carolina,usa,2 days left
dodge,17700,2016,22863.0,gray,2c3cdzag4gh312012,167750487,indiana,usa,21 hours left
dodge,15800,2019,36876.0,white,2c4rdgeg9kr556908,167801996,north carolina,usa,2 days left
